text,label,notes
A lot of characters seemed underdeveloped. Amaterasu did a quick 180 with like three lines of dialogue. Arrow has zero backstory or plot relevance. Necromancer girl didn't even get an ending.,analysis,
"It kinda felt rushed and forced, he got like 10 minutes of screen time and they tried to develop him in that 10 minutes.",analysis,
"Him witnessing our era while Shinra's doppelganger was in control would explain how he recreated the Soul Eater world, and it hints the priestess is a doppelganger too.",analysis,
"I thought it was a well crafted finale, but the author had an idea for an ending in mind and tacked on a battle shonen beforehand. The lightness only shows up after two and a half seasons of nothing.",analysis,
"As someone who never saw Soul Eater, the ending doesn't make sense. The resolution to humanity's fear of death doesn't feel resolved, Death is a physical entity now but people still die. Feels like a tie in for its own sake.",analysis,
"Soul Eater takes place a minimum of 800 years later, probably more, so nothing gets messed up.",analysis,
"With how they portray it, it seems like only 40 years passed, because they show older Shinra, then the kids who made Death, then Maka, then Black Star.",analysis,
Yeah the anime missed a transition title that the manga didn't.,analysis,
"A good anime adaptation, nearly, if ss3 part 2 wasn't crammed with 80+ chapters. Good animation, soundtrack, op and ed, and it adapted the whole story. Only problem was overusing the fanservice.",analysis,
Tamaki only has stripping scenes for about 6 minutes out of a runtime of 300+ minutes.,analysis,
"I didn't think the fan service was bad, mild compared to Fairy Tail. Only issue is they teased Tamaki unlocking more powers during the press of death thing and never went further.",analysis,
Didn't Shinra's assistant say his children join up soon? So the blond one and pink one are both Shinra's. It wouldn't make sense for Iris to be with Arthur.,analysis,
I could barely get through the last season. I hate we didn't see Joker and Benimaru. The sound work is pure eargasm but the seriousness and pacing of the first two seasons got demolished by the end.,analysis,
"Females are really underutilized. The only strong female characters are Haumea and the Evangelist, the rest are fodder or fan service. Maki is strong but underutilized after season 2.",analysis,
"s3 part 2 felt like a completely different anime. Arthur breathing in space, Shinra randomly becoming god, Joker getting no airtime or conclusion. I didn't like it turning into despair vs hope.",analysis,
"Too many deus ex machinas. He gets a trinket that lets him breathe in space, Shinra combines with his mom and brother and becomes god. Deus ex machina and time manipulation are tools of lazy writing.",analysis,
Pretty sure anime onlies found AoT and MHA good endings compared to when the manga came out. Even Assassination Classroom and Mob Psycho 100 had good shonen endings.,analysis,
"The author wouldn't be animating it. People aren't saying there will be a remake, they want a more faithful adaptation, and Fire Force ending brought the discussion back up.",analysis,
"I think they did fantastic with the animation and how they portrayed each character. I just wish they gave Obi more fights, I loved season one when he fought Benimaru.",analysis,
"The ending is fantastic, and the fact that it's ambiguous and a prequel to Soul Eater makes it even more brilliant. Pure cinema, 10/10.",hot_take,
Finally a good shonen ending. People complained about shows ending bad and we finally got some good food.,hot_take,
I absolutely found AoT and MHA's endings good and I'm anime only.,hot_take,
Honestly to me this is the perfect anime ending I've ever seen.,hot_take,
"Avoided Fairy Tail because it was super cringe for the same reason. I came to watch people fight with great animation, not cartoon boobs.",hot_take,
I think the ending is a nightmare for the sad ending fans.,hot_take,
Arthur best character. They explained the fanservice and it was great. Too many people performative by hating on it.,hot_take,
"IMO the final episode was incredibly underwhelming, but the show itself was absolute peak.",hot_take,
"I got to episode 3, saw Shinra SA a 17 year old, then dropped it. Not worth it.",hot_take,
Tamaki makes the show a 10/10.,hot_take,
I loved Fire Force and Soul Eater but I can't get over the crazy amount of ass pull that got to the ending.,hot_take,
People who rate Fire Force high are also Soul Eater fans. Remove the tie in and it was a hot mess.,hot_take,
Hinawa isn't gay in canon and Obi probably isn't either. The entirety of company 8 except Arthur is bi. Arthur is gay imo.,hot_take,
Assassination Classroom makes me tear up every time and I know it's coming. So good.,reaction,
"Goated. Now time for Soul Eater. Just saw ep 1 and the animation is amazing, interesting.",reaction,
"Hold up, the silly battle anime where everyone has fire powers is actually an exploration of Jungian psychology as foundational myth?",reaction,
"I somehow really loved it. A nice wtf happy ending, plus Excalibur, Shinigami, Kid, Maka, Black Star and Soul at the end. 9/10, they nailed it.",reaction,
The sounds of Fire Force will forever be my favorite part. They told the sound dept to go as hard as possible.,reaction,
"Still one of my favourite animes ever, planning on reading the manga since I have nothing else to do.",reaction,
Me knowing nothing about Soul Eater means the ending meant a bit less for me.,reaction,
I felt Joker's arc is unfinished.,hot_take,
"Good finale overall, I love the earnest nature of it, but a lot of characters felt included for vibes, too much is excessive.",hot_take,
7/10. I watched Soul Eater growing up so it was nice seeing the origin. Arthur vs Dragon does the heavy lifting. I liked the lore more than actually watching.,hot_take,
"Only thing I hated about the ending is the laughing at the end, it got grating and I wanted to skip it.",hot_take,
